name,neighbourhood,latitude,longitude,number_of_reviews
Jazzy Blu GuestRM/Priv BA in Bronzeville/Hyde Park,Washington Park,41.79753,-87.62155,48
Wrigley Hostel - Queen Bed Room,Lake View,41.946329999999996,-87.65505999999999,18
"Bright open house, garden & deck",Uptown,41.96952,-87.67239000000001,23
"Designers' Apt Near Loop, McCormick",Bridgeport,41.83812,-87.65231,249
Mid Century Modern Hideaway,Edgewater,41.98496,-87.66806,69
Field Museum Experience at Ellis Place,Oakland,41.82781,-87.60523,257
Eclectic Lincoln Square 2-Bedroom,Lincoln Square,41.97101,-87.68878000000001,26
Trendy Downtown 2 Bedroom,Lincoln Park,41.92989,-87.64103,13
02b. Twin bed in Coed Space,West Ridge,42.0159,-87.68826999999999,137
Quaint Serenity in Bronzeville,Grand Boulevard,41.81266,-87.61586,106
01b. Twin bed in Shared Foster Cat Room,West Ridge,42.01701,-87.68718,84
The Biddle House (#2),Lincoln Park,41.913070000000005,-87.64012,19
The Biddle House (WHOLE HOUSE),Lincoln Park,41.91406,-87.63934,13
Luxury condo Chicago/Lincoln Square,Lincoln Square,41.98067,-87.68875,63
Hinterlands,Avondale,41.93275,-87.71645,175
Best Location Millennium Park Extended Stay POOL,Loop,41.88642,-87.61695,18
AMAZING VIEW NEW Condo 1bedroom LUX,Near North Side,41.89208,-87.61366,0
Greektown Delight,Near West Side,41.876490000000004,-87.64737,1
Penthouse Loft Suite w/ Private Bathroom,West Town,41.90491,-87.66601,5
Modern Penthouse Loft w/ Private Rooftop,West Town,41.90587,-87.66479,39
Duplex Penthouse Artist Loft w/ Rooftop Deck,West Town,41.90613,-87.66606999999999,7
Private Sunny Hyde Park Room & Bath,Hyde Park,41.798190000000005,-87.59600999999999,147
Private room in Chicago,Oakland,41.82936,-87.6048,79
Charming Home in Chicago,Beverly,41.71348,-87.67195,142
Spacious & serene in hip spot. Sleeps 4.,Lower West Side,41.85763,-87.66235999999999,132
Magic Factory Lofts  - Not your typical Airbnb,Near North Side,41.90607,-87.6488,24
The Historic Florsheim Mansion,Near North Side,41.90697,-87.62941,45
Gorgeous Apartment in Bucktown,Logan Square,41.91638,-87.68422,261
Cozy Northside Chicago Apt - 10 min walk to Beach,Rogers Park,42.011140000000005,-87.67634,72
Lincoln Park/De Paul area.,Lake View,41.93574,-87.66225,233
East Pilsen,Lower West Side,41.858999999999995,-87.6462,29
Private Nook in Leafy Andersonville,Uptown,41.97282,-87.67257,243
Spacious Room in an Elegant Condo,Lincoln Square,41.968109999999996,-87.69570999999999,40
"Private 2 Bed 2 Bath Condo, walk to Train & Lake.",Rogers Park,42.01599,-87.66901,110
Quiet Rooms2 in Quiet Neighborhood,Chatham,41.728359999999995,-87.6136,66
Park Views-Walk to Orange Line(MDW),Mckinley Park,41.82516,-87.67456,236
Cozy & Modern Urban Oasis,Uptown,41.95608,-87.64536,21
iKlektik House // Cardinal,West Town,41.89398,-87.68606,276
Cozy 2BR Apt - Humboldt Park,West Town,41.89665,-87.69719,108
Nice room in Penthouse in Lakeview,Lake View,41.93465,-87.65754,26
*Recent Price Drop! Superb location!,West Town,41.889990000000004,-87.66254,73
Private and Spacious Home in Chicago Rogers Park,Rogers Park,41.99969,-87.67116,148
LUX Condo Downtown BEST LOCATION ON MAG MILE AVE,Near North Side,41.89232,-87.62369,7
Stylish One Bedroom Apt In HydePark,Hyde Park,41.79984,-87.59465,306
Lakeview / Lincoln Park Vintage,Lake View,41.93485,-87.65965,30
Casa Corazón (W) near Rush / UIC,Lower West Side,41.84773,-87.68235,109
South Loop Cozy 2BdRm parking&WiFi&NetFlix,Lower West Side,41.85675,-87.65501,399
Beautiful 2 bed room apartment,Avondale,41.93998,-87.70272,99
Spacious duplex in trendy Bucktown,West Town,41.91129,-87.68337,3
BB's Logan Square Apartment,Logan Square,41.918409999999994,-87.70861,37
LARGE Private 1BR/Full Bath near U of Chicago,Woodlawn,41.77892,-87.59886,283
Musician's Quarters,Hyde Park,41.79963,-87.59477,43
BIG LOFT Location RIVER WEST Brick,Near West Side,41.88575,-87.65052,0
Charming Unit Near Wrigley Field & Lake Michigan,Lincoln Park,41.932829999999996,-87.64315,151
Wicker Park|Private Room|Near Train,West Town,41.90941,-87.68354000000001,463
Stay amongst Wicker Park mansions!,West Town,41.91056,-87.67959,44
Spacious & modern 1 bed near O'hare. Free parking!,Ohare,41.97654,-87.83691,107
"Delightful Bedroom in vintage home,  Rogers Park",Rogers Park,42.004,-87.67503,27
THE HIDEOUT,Irving Park,41.94764,-87.70817,204
High Floor South Loop GYM POOL,Near South Side,41.85453,-87.62052,14
Lincoln Park/DePaul  - Private room & bath,Lincoln Park,41.93101,-87.65878000000001,147
Admire Colorful Art at an Eclectic Wrigleyville Home,Lake View,41.94327,-87.66081,4
Discover Vibrant Wrigleyville from This Guesthouse,Lake View,41.951,-87.66203,16
Chicago Guest House | Best Choice in Wrigleyville,Lake View,41.94853,-87.66162,10
Mansion in Bronzeville,Grand Boulevard,41.81832,-87.61463,4
Cozy Bedroom in Spacious Duplex Apt,West Town,41.91344,-87.69031,176
2 Bedroom Modern Vintage Greystone,Lake View,41.9453,-87.65084,243
Bucktown - Great Northside Location,Logan Square,41.921459999999996,-87.68699000000001,166
Great space in hip neighborhood!,West Town,41.89253,-87.66048,177
Super Charming Top Floor Vintage Apartment,Lincoln Park,41.93267,-87.64028,4
Sweet  2 Bedroom Condo in Uptown,Uptown,41.96267,-87.66526,26
Extra Bedroom with private entrance,West Ridge,41.988640000000004,-87.69345,15
Downtown Urban Oasis + Huge Deck!,West Town,41.8967,-87.65734,132
"Nicely remodeled by IIT/McCormick, Free Parking!",Douglas,41.82796,-87.61841,110
Water Tower Experience at Ellis Place,Oakland,41.82926,-87.60859,194
Petite Victorian 1,Lower West Side,41.85658,-87.65423,97
Awesome Room & View - Lincoln Park,Lincoln Park,41.91766,-87.65337,213
Mid-Century Townhouse in Lakeview,Lake View,41.93395,-87.63923,118
Urban Farm Fun!  Walk to Metra/CTA ,East Garfield Park,41.88745,-87.70784,357
Bright Spacious 2 BR,Norwood Park,41.99462,-87.7795,148
Bright Lincoln Park Pied a Terre,Lincoln Park,41.92403,-87.63783000000001,113
Casa Corazón (E) near Rush / UIC,Lower West Side,41.84721,-87.67931999999999,129
"Spacious, private, comfy Logan Square apartment",Logan Square,41.92323,-87.71348,88
Wicker Park|Private Room|Near Train,West Town,41.90992,-87.68411,457
2BR/2Bth w/city view prvt roof deck,West Town,41.89309,-87.65061999999999,50
Ukrainian Village Apartment,West Town,41.899840000000005,-87.6764,42
Location and Luxury GoldCoast condo with Parking,Near North Side,41.90099,-87.63385,31
"Gorgeous views,  sky-high style!",Near South Side,41.859590000000004,-87.62234000000001,24
"Hyde Park, Chicago. Free bike. Parking.",Kenwood,41.80379,-87.60386,17
Wrigley Hostel - 10 Bed Shared Room,Lake View,41.94656,-87.65509,104
Wrigley Hostel - 8 Bed Private Dorm,Lake View,41.94662,-87.65541,90
Carriage House in Wicker Park,West Town,41.906690000000005,-87.68283000000001,145
Large 1B/1B in Magnificent,Loop,41.88776,-87.6227,25
"Unique, Handcrafted Art Gallery Condo in River West Chicago",West Town,41.89648,-87.65651,305
Old school Chicago apartment,Near West Side,41.86756,-87.68661999999999,41
City Hideaway,North Center,41.942640000000004,-87.68336,72
RIVER NORTH MODERN LUXURY & PARKING,Near West Side,41.8877,-87.64276,7
2nd bedroom for rent,Lake View,41.93501,-87.64819,8
Art studio + house in one,Lower West Side,41.85105,-87.67942,111
Cozy Garden-Subterranean Apartment,Lincoln Square,41.96293,-87.69358000000001,146
2Bd/2Br Old Town Escape,Near North Side,41.9088,-87.63946999999999,16
Chicago MostWanted LOCATION Mag Mil,Near North Side,41.89009,-87.62304,4
Vintage Apartment in the Heart of the Ukrainian Village,West Town,41.90027,-87.68055,135
2 bedroom MAG MIL Roof Top Hot Tub,Near North Side,41.89076,-87.62276999999999,4
THE GREEN ROOM IN ANDERSONVILLE,Uptown,41.97487,-87.67027,240
Cute Private Rm in Trendy Hood!,West Town,41.89907,-87.68085,180
Cool United Center and Rush Medical District Space,East Garfield Park,41.88342,-87.69618,110
"Warm Cozy Guest Suite, Private Bath",Washington Park,41.79599,-87.62355,71
Private room near Downtown,Lower West Side,41.8579,-87.65104000000001,192
Chicago Women's Residence/Cowgirls,North Lawndale,41.85448,-87.70787,3
"Basement Studio w/Free St. Parking, Humboldt Park",Humboldt Park,41.89826,-87.70336,454
Wicker Park Private Room - Amazing Location!,West Town,41.90547,-87.66618000000001,23
Modern Business KING BED w/OUTDOOR POOL & GYM,Near South Side,41.8537,-87.62338000000001,16
Prime Wicker Park location w/ free parking,West Town,41.90772,-87.68121,18
Hyde Park. U of Chicago & Hospital.,Kenwood,41.80458,-87.60508,20
Cozy Single-Family Home near University of Chicago,Hyde Park,41.789770000000004,-87.58915999999999,84
Sunny Wicker Park Vintage Home,West Town,41.90615,-87.67497,0
Lincoln Park Loft at the Zoo - 2 bedrooms/2bath,Lincoln Park,41.91721,-87.6363,380
"11 Beds in 5*House TRAIN,CUBS, BEACH.RIVERA ARAGON",Uptown,41.96821,-87.65626,103
GREAT LOCATION SPECTACULAR VIEWS + BALCONY,Loop,41.886179999999996,-87.61888,25
Magnolia Airbnb,Edgewater,41.98705,-87.66228000000001,71
2BD Great Views Modern Luxury  w/POOL,Near South Side,41.852109999999996,-87.6216,6
Luxury finishes in vintage wood trimmed apartment,Near West Side,41.86759,-87.68204,31
"The Bucktown Penthouse Family, Business, Friends",Logan Square,41.914320000000004,-87.6737,67
Grand Vintage Lincoln Park Penthouse - 2 Bedrooms.,Lincoln Park,41.93227,-87.64879,57
Modern 2-Floor Wicker Park pad near Blue Line!,Logan Square,41.920590000000004,-87.68486999999999,2
Modern Loft Right by McCormick LUX - KING SIZE BED,Near South Side,41.85445,-87.62432,14
Sweet Spacious Suite: Country in the City,Morgan Park,41.68612,-87.67735,124
"Cozy ""Faux"" Cabin Suite /Fireplace",Morgan Park,41.68582,-87.68066999999999,117
"Peaceful Rest in Urban Farmhouse, Gold Room",Portage Park,41.94475,-87.76953,35
Modern 1 bedroom in Rogers Park!,Rogers Park,42.00598,-87.67211,128
"New Renovated Home by IIT/McCormick, Free Parking!",Douglas,41.82734,-87.61871,149
"1 Bed/Bath. Near Lake, Zoo, Wrigley",Lincoln Park,41.92985,-87.64353,65
Lakefront Luxury!,Lake View,41.94927,-87.64669,53
"Luxury Three Bedroom, Two Bathroom Apartment",Lake View,41.94278,-87.67220999999999,12
"McCormick Modern New 2 beds Luxury , Pool, HotTub",Near South Side,41.85235,-87.6216,8
"Lovely 3 BDRM House June/July/Aug, Andersonville",Lincoln Square,41.97934,-87.67656,0
Modern 1 Bedroom w/POOL HOT TUB Luxury,Near South Side,41.854409999999994,-87.62151,7
Stay In the Center w/ Pool Gym Long Term Furnished,Near North Side,41.890159999999995,-87.62209,5
"Sunny, cozy condo in Edgewater",Edgewater,41.9897,-87.66383,3
Urban Farm + Bikes in Roscoe Village,North Center,41.94795,-87.68314000000001,149
"Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",West Town,41.89425,-87.68468,142
Navy Pier Experience at Ellis Place,Oakland,41.828720000000004,-87.60826,184
Gorgeous Penthouse with Stunning Views from Private Rooftop,West Town,41.902429999999995,-87.67028,67
Amazing 2BR/2BA MICHIGAN AVE and Loop View!,Loop,41.88766,-87.61754,5
Private Room (blue)-Avondale near blueline CTA,Avondale,41.93758,-87.7124,217
West Loop Modern Urban Retreat,Near West Side,41.88523,-87.65195,50
The Red Room,West Lawn,41.78355,-87.72894000000001,303
"Cozy Wicker Park, Chicago Apartment",West Town,41.9044,-87.67145,233
Private room in condo in Edgewater,Edgewater,41.99177,-87.6641,4
One Bedroom Suite in Lincoln Park,Lincoln Park,41.92049,-87.65789000000001,4
Spacious Studio in Hyde Park,Hyde Park,41.79629,-87.59161999999999,99
Urban Oasis Near Downtown,Near West Side,41.87327,-87.68844,9
The Lovejoy Lodge Guest Room,Jefferson Park,41.979240000000004,-87.77145,182
Art Collector's Pied-a'-terre,South Shore,41.77293,-87.56951,220
"Airy, Beautifully Furnished Palmer Sq Condo",Logan Square,41.92092,-87.70068,3
Modern House Right at the Center of Chicago,Near North Side,41.90263,-87.64155,69
Relaxed Bucktown/Wicker Park 1B Apt,Logan Square,41.91548,-87.67451,209
"Private Room loft near downtown, Mccormick Place",Near South Side,41.85298,-87.62761,414
Lincoln Square Modern 2 Bed 2 Bath,Lincoln Square,41.96315,-87.6804,88
Splendid Living 2 Bed Flat in Bucktown/Wicker Park,Logan Square,41.91603,-87.67119,61
Logan Square Apartment,Logan Square,41.93156,-87.71161,331
Beautiful Roscoe Village Apartment!,North Center,41.94425,-87.68670999999999,19
King Bed in Private room in 3 BR,Near West Side,41.86823,-87.68483,23
"Beautiful, large, light-filled 1Bd",Rogers Park,42.00529,-87.67761,44
"South Loop Comfy 2BdRm,free parking&WiFi&Netflix",Lower West Side,41.85683,-87.65249,368
Magnificent Mile Experience at Ellis Place,Oakland,41.82875,-87.60826,239
LOFT606:  Gigantic Sunlit Loft!,Logan Square,41.91704,-87.69375,42
MASTER BDRM Business Study Vacation near Lake,South Shore,41.75282,-87.56201,9
Artist's Home Studio Next to Train,Albany Park,41.96697,-87.70906,13
Pride Perfect Boystown-PVT KG Bed/Roscoe Halsted,Lake View,41.93493,-87.6462,240
Relax in the Sauna at an Eclectic Loft-Style Home,West Town,41.90226,-87.6797,197
Ravenswood Guest House Annex,Edgewater,41.9895,-87.66685,225
The Roscoe House near Wrigley Field,Lake View,41.94313,-87.65613,128
The Roscoe House: Onyx Room,Lake View,41.94465,-87.65477,43
The Roscoe House: Master Bedroom,Lake View,41.94276,-87.65498000000001,19
Private ROOM (pink)-Avondale near blueline CTA,Avondale,41.93625,-87.71245,63
Studio close to everything!,West Town,41.90832,-87.69444,48
Chicago duplex-perfect for groups!,West Town,41.89986,-87.6803,131
The Roscoe House: Green Room,Lake View,41.94279,-87.65548000000001,65
